starting,ending,data
Alabama,Georgia,18302
Alaska,Texas,9457
Arizona,California,34040
Arkansas,Texas,10856
California,Texas,61270
Colorado,Texas,19748
Connecticut,New York,12522
Delaware,Pennsylvania,5805
Florida,Georgia,43170
Georgia,Florida,33835
Hawaii,California,13042
Idaho,Washington,8128
Illinois,Indiana,28173
Indiana,Illinois,19672
Iowa,Illinois,11109
Kansas,Missouri,18757
Kentucky,Ohio,10490
Louisiana,Texas,26438
Maine,Florida,4735
Maryland,Virginia,26226
Massachusetts,New York,17239
Michigan,Florida,19440
Minnesota,Wisconsin,16937
Mississippi,Louisiana,10373
Missouri,Kansas,24307
Montana,Washington,3050
Nebraska,Iowa,7380
Nevada,California,32333
New Hampshire,Massachusetts,10775
New Jersey,Pennsylvania,38000
New Mexico,Texas,15279
New York,Florida,53482
North Carolina,Florida,25128
North Dakota,Minnesota,7160
Ohio,Florida,21346
Oklahoma,Texas,25784
Oregon,Washington,26687
Pennsylvania,New York,21961
Rhode Island,Massachusetts,6316
South Carolina,North Carolina,22374
South Dakota,Iowa,3562
Tennessee,Kentucky,14336
Texas,California,35104
Utah,California,13401
Vermont,New York,4407
Virginia,North Carolina,27787
Washington,California,33408
West Virginia,Ohio,5679
Wisconsin,Minnesota,17189
Wyoming,Colorado,5630
